date,account,debit,credit,description
2026-03-01,Cash,25000,0,Manual top-up
2026-03-01,Sales Revenue,0,25000,Manual top-up
2026-03-01,Cash,25000,0,Manual top-up
2026-03-01,Sales Revenue,0,25000,Manual top-up
2026-03-04,Rent Expense,10000,0,Rent adjustment block
2026-03-04,Cash,0,10000,Rent adjustment block
2026-03-05,Utilities Expense,12000,0,Utility sweep block
2026-03-05,Cash,0,12000,Utility sweep block
2026-03-09,Accounts Receivable,15000,0,Bulk invoice posting
2026-03-09,Service Revenue,0,15000,Bulk invoice posting
2026-03-09,Accounts Receivable,15000,0,Bulk invoice posting
2026-03-09,Service Revenue,0,15000,Bulk invoice posting
2026-03-10,Salary Expense,9000,0,Bonus payroll batch
2026-03-10,Cash,0,9000,Bonus payroll batch
2026-03-10,Salary Expense,9000,0,Bonus payroll batch
2026-03-10,Cash,0,9000,Bonus payroll batch
2026-03-11,Inventory,11000,0,Inventory true-up batch
2026-03-11,Accounts Payable,0,11000,Inventory true-up batch
2026-03-12,Cash,30000,0,Owner injection wave
2026-03-12,Owner Equity,0,30000,Owner injection wave
2026-03-12,Cash,30000,0,Owner injection wave
2026-03-12,Owner Equity,0,30000,Owner injection wave
2026-03-16,Accounts Payable,8000,0,AP correction sweep
2026-03-16,Cash,0,8000,AP correction sweep
2026-03-16,Accounts Payable,8000,0,AP correction sweep
2026-03-16,Cash,0,8000,AP correction sweep
2026-03-17,Utilities Expense,1000,0,Suspense cleanup
2026-03-17,Cash,0,1000,Suspense cleanup
2026-03-18,Equipment,18000,0,Emergency hardware order
2026-03-18,Notes Payable,0,18000,Emergency hardware order
2026-03-18,Owner Equity Draw,7000,0,Executive draw posting
2026-03-18,Cash,0,7000,Executive draw posting
